"","CBSA.Code","YEAR","AGE_CATEGORY","fatality_count","rate"
"380",10620,2019,6,8,0.157623044489104
"381",10620,2020,6,7,0.125158683330651
"382",10620,2021,6,12,0.196056006665904
"383",10620,2022,4,1,0.015045739046702
"384",10620,2022,5,1,0.0150455126758444
"385",10620,2022,6,3,0.0451358589353955
"386",10660,2010,6,6,2.45700245700246
"387",10660,2011,4,1,0.127032520325203
"388",10660,2011,6,1,0.12701638511368
"389",10660,2012,6,3,0.226346763241286
"390",10660,2013,6,2,0.107619457597934
"391",10660,2014,6,3,0.126651749905011
"392",10660,2015,6,2,0.0692161273576743
"393",10660,2016,2,1,0.0291808923516881
"394",10660,2016,6,3,0.0875401225561716
"395",10660,2017,6,3,0.0757747973024172
"396",10660,2019,6,3,0.0602591141910214
"397",10660,2020,4,2,0.036405999708752
"398",10660,2020,6,2,0.0364053370224075
"399",10660,2021,6,1,0.0166148836127403
"400",10660,2022,6,5,0.0763976958454933
"401",10700,2010,1,1,10.2040816326531
"402",10700,2010,4,1,10.1010101010101
"403",10700,2010,5,2,20
"404",10700,2010,6,19,188.118811881188
"405",10700,2011,4,1,0.178571428571429
"406",10700,2011,6,15,2.67809319764328
"407",10700,2012,4,1,0.0908017797148824
"408",10700,2012,5,1,0.0907935355002724
"409",10700,2012,6,16,1.45256468452111
"410",10700,2013,1,1,0.0610724319042384
"411",10700,2013,3,2,0.122137404580153
"412",10700,2013,5,2,0.122129946262824
"413",10700,2013,6,14,0.85485742199426
"414",10700,2014,2,1,0.0463864922534558
"415",10700,2014,5,1,0.0463843406465977
"416",10700,2014,6,12,0.556586270871985
"417",10700,2015,4,1,0.0375107843505008
"418",10700,2015,6,12,0.450112528132033
"419",10700,2016,4,2,0.0625762648227527
"420",10700,2016,5,1,0.031287153494775
"421",10700,2016,6,19,0.59443731814911
"422",10700,2017,5,2,0.053584824777623
"423",10700,2017,6,12,0.321500334896182
"424",10700,2018,6,20,0.469593801361822
"425",10700,2019,1,1,0.0209784341696736
"426",10700,2019,4,2,0.0419559881684113
"427",10700,2019,6,11,0.230753094189218
"428",10700,2020,6,14,0.265599210790917
"429",10700,2021,5,1,0.0172699640784747
"430",10700,2021,6,23,0.397202314135222
"431",10700,2022,2,1,0.0158062782537224
"432",10700,2022,5,2,0.0316120568384782
"433",10700,2022,6,24,0.379338686223683
"434",10740,2010,1,3,0.968054211035818
"435",10740,2010,3,3,0.480461242793081
"436",10740,2010,4,5,0.531575590048905
"437",10740,2010,5,9,0.956327701625757
"438",10740,2010,6,59,4.69184890656064
"439",10740,2011,2,1,0.117027501462844
"440",10740,2011,3,1,0.1170138076293
"441",10740,2011,4,3,0.174825174825175
"442",10740,2011,5,4,0.155303618574313
"443",10740,2011,6,63,1.83315389763436
"444",10740,2012,1,2,0.143884892086331
