"","year","AGE_CATEGORY","CBSA.Code","CBSA.Title","Metropolitan.Micropolitan.Statistical.Area","rate_cbsa_age","rate_cbsa"
"178",2017,5,42220,"Santa Rosa-Petaluma, CA","Metropolitan Statistical Area",0.00888170457674237,0.0177636458106662
"179",2017,3,33700,"Modesto, CA","Metropolitan Statistical Area",0.00613459296975646,0.0368073320205385
"180",2017,4,33700,"Modesto, CA","Metropolitan Statistical Area",0.0122691106735128,0.0368073320205385
"181",2017,5,33700,"Modesto, CA","Metropolitan Statistical Area",0.0184035531126543,0.0368073320205385
"182",2017,4,49700,"Yuba City, CA","Metropolitan Statistical Area",0.0369208048735462,0.147680493252847
"183",2017,5,49700,"Yuba City, CA","Metropolitan Statistical Area",0.110758325334121,0.147680493252847
"184",2017,1,47300,"Visalia, CA","Metropolitan Statistical Area",0.012746485156718,0.057358452086573
"185",2017,2,47300,"Visalia, CA","Metropolitan Statistical Area",0.00637320196039692,0.057358452086573
"186",2017,3,47300,"Visalia, CA","Metropolitan Statistical Area",0.00637316134295256,0.057358452086573
"187",2017,4,47300,"Visalia, CA","Metropolitan Statistical Area",0.0127462414520518,0.057358452086573
"188",2017,5,47300,"Visalia, CA","Metropolitan Statistical Area",0.0191192403288509,0.057358452086573
"189",2017,5,37100,"Oxnard-Thousand Oaks-Ventura, CA","Metropolitan Statistical Area",0.0135664348313692,0.0135664348313692
"190",2017,1,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.00653136579567275,0.0479815314723406
"191",2017,3,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.010885514863082,0.0479815314723406
"192",2017,4,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.0108342948770037,0.0479815314723406
"193",2017,1,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.00728631957069005,0.0430495300538411
"194",2017,2,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.00679726478065226,0.0430495300538411
"195",2017,3,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.00671941406709335,0.0430495300538411
"196",2017,4,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0151185800629605,0.0430495300538411
"197",2017,5,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0115555838025382,0.0430495300538411
"198",2017,3,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.00671941406709335,0.0430495300538411
"199",2017,4,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0151185800629605,0.0430495300538411
"200",2017,5,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0115555838025382,0.0430495300538411
"201",2017,5,14500,"Boulder, CO","Metropolitan Statistical Area",0.0385931510021355,0.0385931510021355
"202",2017,3,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.00671941406709335,0.0430495300538411
"203",2017,4,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0151185800629605,0.0430495300538411
"204",2017,5,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0115555838025382,0.0430495300538411
"205",2017,5,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0115555838025382,0.0430495300538411
"206",2017,2,17820,"Colorado Springs, CO","Metropolitan Statistical Area",0.0263688046493476,0.0632846305364164
"207",2017,3,17820,"Colorado Springs, CO","Metropolitan Statistical Area",0.00527373311746186,0.0632846305364164
"208",2017,4,17820,"Colorado Springs, CO","Metropolitan Statistical Area",0.0105474106106951,0.0632846305364164
"209",2017,5,17820,"Colorado Springs, CO","Metropolitan Statistical Area",0.0210947099741062,0.0632846305364164
"210",2017,1,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.00728631957069005,0.0430495300538411
"211",2017,3,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.00671941406709335,0.0430495300538411
"212",2017,4,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0151185800629605,0.0430495300538411
"213",2017,5,19740,"Denver-Aurora-Centennial, CO","Metropolitan Statistical Area",0.0115555838025382,0.0430495300538411
"214",2017,4,22660,"Fort Collins-Loveland, CO","Metropolitan Statistical Area",0.0245501190680775,0.0368249525878735
"215",2017,5,22660,"Fort Collins-Loveland, CO","Metropolitan Statistical Area",0.0122749088588017,0.0368249525878735
"216",2017,4,39380,"Pueblo, CO","Metropolitan Statistical Area",0.0236490481258129,0.0709463054711426
"217",2017,5,39380,"Pueblo, CO","Metropolitan Statistical Area",0.0472969777231235,0.0709463054711426
"218",2017,4,24540,"Greeley, CO","Metropolitan Statistical Area",0.0334985930590915,0.0893290827578121
"219",2017,5,24540,"Greeley, CO","Metropolitan Statistical Area",0.0558303650189265,0.0893290827578121
"220",2017,2,NA,NA,NA,0.00876781393954885,0.0623869277637532
"221",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"222",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"223",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"224",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"225",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"226",2017,1,NA,NA,NA,0.0102711726529343,0.0623869277637532
"227",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"228",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"229",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"230",2017,4,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Metropolitan Statistical Area",0.0217823795071374,0.029043067238331
"231",2017,5,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Metropolitan Statistical Area",0.00726074045031112,0.029043067238331
"232",2017,1,42580,"Seaford, DE","Micropolitan Statistical Area",0.0218569680013988,0.0655694708543702
"233",2017,2,42580,"Seaford, DE","Micropolitan Statistical Area",0.0218564902847901,0.0655694708543702
"234",2017,3,42580,"Seaford, DE","Micropolitan Statistical Area",0.0218560125890633,0.0655694708543702
"235",2017,2,NA,NA,NA,0.00876781393954885,0.0623869277637532
"236",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"237",2017,2,NA,NA,NA,0.00876781393954885,0.0623869277637532
"238",2017,3,NA,NA,NA,0.00947279740827788,0.0623869277637532
"239",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"240",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"241",2017,3,NA,NA,NA,0.00947279740827788,0.0623869277637532
"242",2017,3,NA,NA,NA,0.00947279740827788,0.0623869277637532
"243",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"244",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"245",2017,1,NA,NA,NA,0.0102711726529343,0.0623869277637532
"246",2017,2,NA,NA,NA,0.00876781393954885,0.0623869277637532
"247",2017,3,NA,NA,NA,0.00947279740827788,0.0623869277637532
"248",2017,4,NA,NA,NA,0.0167700598924384,0.0623869277637532
"249",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"250",2017,3,NA,NA,NA,0.00947279740827788,0.0623869277637532
"251",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
"252",2017,5,NA,NA,NA,0.0188651837847206,0.0623869277637532
