"","YEAR","cbsa_code","cbsa_name","fatality_count","value","estimate","population","fatality_rate"
"93",2021,"16980","Chicago-Naperville-Elgin, IL-IN",816,NA,9510390,9510390,8.58008977549817
"94",2021,"31080","Los Angeles-Long Beach-Anaheim, CA",1081,NA,12997353,12997353,8.31707810044091
"95",2021,"35620","New York-Newark-Jersey City, NY-NJ",923,NA,19768458,19768458,4.66905410629398
"96",2021,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",551,NA,6228601,6228601,8.8462882756497
"97",2021,"38300","Pittsburgh, PA",192,NA,2353538,2353538,8.15793074086758
"98",2021,"41860","San Francisco-Oakland-Fremont, CA",271,NA,4623264,4623264,5.86165964132699
"99",2021,"42660","Seattle-Tacoma-Bellevue, WA",273,NA,4011553,4011553,6.80534446385228
"100",2021,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",422,NA,6358652,6358652,6.63662675674026
"101",2022,"12580","Baltimore-Columbia-Towson, MD",223,NA,2835672,2835672,7.86409711701494
"102",2022,"14460","Boston-Cambridge-Newton, MA-NH",259,NA,4900550,4900550,5.28512105784045
"103",2022,"16980","Chicago-Naperville-Elgin, IL-IN",755,NA,9442159,9442159,7.99605259771626
"104",2022,"31080","Los Angeles-Long Beach-Anaheim, CA",1088,NA,12872322,12872322,8.45224350354194
"105",2022,"35620","New York-Newark-Jersey City, NY-NJ",955,NA,19617869,19617869,4.86801089353793
"106",2022,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",577,NA,6241164,6241164,9.24507031060232
"107",2022,"38300","Pittsburgh, PA",202,NA,2349172,2349172,8.59877437667399
"108",2022,"41860","San Francisco-Oakland-Fremont, CA",275,NA,4579599,4579599,6.00489256810476
"109",2022,"42660","Seattle-Tacoma-Bellevue, WA",295,NA,4034248,4034248,7.3123913056411
"110",2022,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",467,NA,6373829,6373829,7.3268360352937
