cbsa_code,cbsa_name,fatality_count,pop_under18,rate
40380,"Rochester, NY",17,770037,2.2076861241732537
40420,"Rockford, IL",8,264338,3.0264282849987514
40580,"Rocky Mount, NC",5,62482,8.002304663743157
40660,"Rome, GA",3,44961,6.67244945619537
40900,"Sacramento-Roseville-Folsom, CA",54,1040068,5.191968217462705
40980,"Saginaw, MI",5,122681,4.075610730267931
41060,"St. Cloud, MN",9,147544,6.099875291438486
41100,"St. George, UT",4,136328,2.934100111495804
41140,"St. Joseph, MO-KS",13,77694,16.732308801194428
41180,"St. Louis, MO-IL",97,1485474,6.529902239958424
41420,"Salem, OR",15,439025,3.4166619213028873
41500,"Salinas, CA",6,342342,1.7526333315807001
41540,"Salisbury, MD",5,68637,7.284700671649402
41620,"Salt Lake City-Murray, UT",32,1561467,2.049354869491318
41660,"San Angelo, TX",6,112860,5.31632110579479
41700,"San Antonio-New Braunfels, TX",45,2618791,1.7183501852572427
41740,"San Diego-Chula Vista-Carlsbad, CA",35,3543729,0.9876601737886842
41780,"Sandusky, OH",1,15043,6.647610184138801
41860,"San Francisco-Oakland-Fremont, CA",72,1964901,3.66430675133251
41940,"San Jose-Sunnyvale-Santa Clara, CA",26,1681969,1.5458073246296453
42020,"San Luis Obispo-Paso Robles, CA",7,197142,3.5507400756814884
42100,"Santa Cruz-Watsonville, CA",2,99841,2.003185064252161
42140,"Santa Fe, NM",3,52286,5.73767356462533
42200,"Santa Maria-Santa Barbara, CA",8,394747,2.026614515119811
42220,"Santa Rosa-Petaluma, CA",8,475986,1.6807217018987954
42340,"Savannah, GA",7,246210,2.843101417489135
42540,"Scranton--Wilkes-Barre, PA",10,258752,3.8647044274053926
42660,"Seattle-Tacoma-Bellevue, WA",43,2127597,2.0210594393581114
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",3,25527,11.75226231049477
42700,"Sebring, FL",8,71314,11.217993661833582
43100,"Sheboygan, WI",4,75779,5.2785072381530505
43300,"Sherman-Denison, TX",5,130321,3.836680197358829
43340,"Shreveport-Bossier City, LA",11,285414,3.8540506071881544
43420,"Sierra Vista-Douglas, AZ",4,79788,5.013285205795358
43580,"Sioux City, IA-NE-SD",3,80678,3.718485832568978
43620,"Sioux Falls, SD-MN",6,169702,3.535609480147553
43640,"Slidell-Mandeville-Covington, LA",11,251289,4.3774299710691675
43780,"South Bend-Mishawaka, IN-MI",13,254310,5.111871338130628
43900,"Spartanburg, SC",21,374794,5.603077957491315
44060,"Spokane-Spokane Valley, WA",8,462349,1.7302946475497947
44100,"Springfield, IL",4,129496,3.0888984987953294
44140,"Springfield, MA",12,398238,3.0132734696337367
44180,"Springfield, MO",14,267690,5.229930143075946
44220,"Springfield, OH",6,119444,5.023274505207461
44300,"State College, PA",1,24389,4.100209110664643
44420,"Staunton-Stuarts Draft, VA",3,43114,6.9582966089901195
44700,"Stockton-Lodi, CA",41,1028987,3.9845012619207045
